l_skillid,l_skilldesc
0129,Active listening
0193,Reflective responding
0237,Rapport building
0346,Empathy
0451,Nonverbal communication awareness
0582,Open-ended questioning
0678,Summarization techniques
0714,Professional communication
0965,Client engagement strategies
1018,Cognitive behavioral therapy
1042,Dialectical behavior therapy
1087,Solution-focused therapy
1125,Exposure therapy
1189,Behavioral activation
1234,Mindfulness-based techniques
1296,Motivational interviewing
1348,Family systems therapy
1391,Trauma-informed care
1457,Play therapy techniques
1523,Art therapy basics
1678,Supportive counseling
1742,Multicultural counseling techniques
1865,Grief counseling
1979,Anger management techniques
2007,Stress management techniques
2134,Emotional regulation strategies
2259,Coping skills training
2381,Psychoeducation delivery
2496,Relapse prevention planning
2573,Self-care planning
2688,Goal setting with clients
3012,Crisis intervention
3038,Crisis de-escalation
3147,Risk assessment
3179,Suicide assessment
3265,Diagnostic evaluation
3294,Mental status examination
3389,Substance use assessment
3498,Intake interviewing
3574,Screening tool administration
3681,Behavioral observation
3416,Progress evaluation
3926,Outcome measurement
5016,Treatment planning
5239,Case conceptualization
5478,Referral coordination
5683,Client advocacy
5921,Interdisciplinary collaboration
6014,Case documentation
6279,Record keeping compliance
6543,Client intake documentation
6891,Time management
7003,Ethical decision-making
7138,Ethical boundary maintenance
7295,Boundary setting
7461,Confidentiality management
7684,Legal awareness in counseling
7920,Cultural competence
8126,Supervision participation
9017,Group facilitation
9483,Conflict resolution
