st_skillid,st_treatcode
0129,0129-31
0129,0129-18
0129,0129-04
0129,0129-33
0129,0129-42
0129,0129-57
0129,0129-14
0129,0129-06
0129,0129-88
0193,0193-02
0193,0193-05
0193,0193-16
0193,0193-19
0193,0193-22
0193,0193-33
0193,0193-41
0193,0193-48
0193,0193-67
0193,0193-78
0237,0237-02
0237,0237-06
0237,0237-11
0237,0237-19
0237,0237-28
0237,0237-44
0237,0237-49
0237,0237-63
0237,0237-77
0237,0237-85
0237,0237-91
0346,0346-03
0346,0346-08
0346,0346-16
0346,0346-21
0346,0346-39
0346,0346-52
0346,0346-64
0346,0346-77
0346,0346-82
0451,0451-03
0451,0451-08
0451,0451-17
0451,0451-29
0451,0451-52
0451,0451-63
0451,0451-74
0451,0451-86
0451,0451-91
0582,0582-05
0582,0582-09
0582,0582-18
0582,0582-21
0582,0582-37
0582,0582-44
0582,0582-55
0582,0582-72
0582,0582-93
0678,0678-03
0678,0678-09
0678,0678-18
0678,0678-26
0678,0678-41
0678,0678-58
0678,0678-69
0678,0678-83
0678,0678-92
0714,0714-02
0714,0714-07
0714,0714-19
0714,0714-22
0714,0714-44
0714,0714-63
0714,0714-71
0714,0714-88
0714,0714-95
0965,0965-07
0965,0965-02
0965,0965-19
0965,0965-27
0965,0965-38
0965,0965-56
0965,0965-61
0965,0965-79
0965,0965-84
1018,1018-03
1018,1018-12
1018,1018-18
1018,1018-44
1018,1018-57
1018,1018-79
1042,1042-05
1042,1042-11
1042,1042-22
1042,1042-31
1042,1042-59
1042,1042-66
1042,1042-88
1087,1087-04
1087,1087-09
1087,1087-27
1087,1087-31
1087,1087-53
1087,1087-66
1087,1087-88
1087,1087-92
1125,1125-06
1125,1125-09
1125,1125-27
1125,1125-41
1125,1125-52
1125,1125-73
1125,1125-85
1125,1125-91
1189,1189-06
1189,1189-12
1189,1189-21
1189,1189-33
1189,1189-48
1189,1189-57
1189,1189-75
1189,1189-90
1234,1234-03
1234,1234-08
1234,1234-17
1234,1234-29
1234,1234-52
1234,1234-64
1234,1234-79
1234,1234-87
1296,1296-02
1296,1296-05
1296,1296-18
1296,1296-33
1296,1296-46
1296,1296-58
1296,1296-77
1296,1296-84
1348,1348-07
1348,1348-09
1348,1348-21
1348,1348-32
1348,1348-55
1348,1348-61
1348,1348-85
1348,1348-90
1391,1391-04
1391,1391-12
1391,1391-28
1391,1391-36
1391,1391-64
1391,1391-73
1391,1391-88
1391,1391-96
1457,1457-39
1457,1457-88
1457,1457-79
1457,1457-66
1457,1457-52
1457,1457-18
1457,1457-07
1457,1457-03
1523,1523-36
1523,1523-24
1523,1523-11
1523,1523-06
1523,1523-91
1523,1523-74
1523,1523-68
1523,1523-59
1678,1678-25
1678,1678-09
1678,1678-02
1678,1678-91
1678,1678-77
1678,1678-63
1678,1678-52
1678,1678-31
1742,1742-03
1742,1742-06
1742,1742-21
1742,1742-33
1742,1742-58
1742,1742-64
1742,1742-84
1865,1865-09
1865,1865-12
1865,1865-27
1865,1865-33
1865,1865-64
1865,1865-71
1865,1865-88
1979,1979-03
1979,1979-06
1979,1979-22
1979,1979-41
1979,1979-57
1979,1979-81
1979,1979-88
2007,2007-03
2007,2007-05
2007,2007-12
2007,2007-19
2007,2007-27
2007,2007-33
2007,2007-44
2134,2134-07
2134,2134-02
2134,2134-94
2134,2134-90
2134,2134-85
2134,2134-81
2134,2134-76
2134,2134-45
2134,2134-41
2134,2134-36
2134,2134-32
2134,2134-27
2134,2134-23
2134,2134-18
2134,2134-14
2134,2134-11
2259,2259-88
2259,2259-91
2259,2259-55
2259,2259-73
2381,2381-64
2381,2381-73
2381,2381-88
2381,2381-96
2381,2381-02
2381,2381-11
2381,2381-05
2381,2381-28
2381,2381-47
2381,2381-59
2496,2496-09
2496,2496-33
2496,2496-41
2496,2496-57
2496,2496-68
2496,2496-77
2496,2496-82
2496,2496-90
2496,2496-04
2496,2496-18
2573,2573-61
2573,2573-04
2573,2573-07
2573,2573-19
2573,2573-13
2573,2573-26
2573,2573-33
2573,2573-58
2573,2573-82
2573,2573-95
2573,2573-11
2573,2573-42
2573,2573-37
2573,2573-44
2573,2573-52
2573,2573-68
2573,2573-73
2573,2573-86
2573,2573-91
2688,2688-92
2688,2688-07
