ts_skillid,ts_theraid
9017,PS4370
0346,HP6024
9017,XW8779
2688,OL8603
2134,BP5493
1296,JL8162
0129,BM8246
3681,DO5771
2688,ES1741
5921,EV1301
0678,SG9137
2259,SS1156
1234,MK7345
3926,ZD7264
3265,TM8111
2573,EW9602
5239,IF7535
1348,MD8838
0193,SR5700
0582,DN3878
0678,DN3878
3265,AL3415
3681,EB2780
9483,JR1982
7295,JR1982
9017,AE1982
6543,KP6617
0714,RH1149
0582,MG6890
7684,AC8556
0129,ES8012
1391,FL7371
2259,EP7839
7684,EP7839
1234,MM2970
5016,KR9248
8126,RB2654
0346,LM8157
9017,JB3519
6014,JB3519
1523,GM2485
3038,VB3569
3416,MM3794
3498,CF5393
7138,NT5371
2259,KH3291
3498,PR2136
1391,OM2283
1742,OB6851
1979,CL5900
0237,CL5900
5921,CL5900
3926,CL5900
1234,GM2614
1296,RB7749
1234,RB7749
6543,BD6368
6014,NW6837
3389,GM2156
1348,EH8282
3498,BS6149
0129,JO6004
3012,MF4174
0678,CJ4229
3681,UD7210
1348,SC1521
0129,LS2768
7461,GC7268
6891,DW1235
0965,HK2146
0582,AM1235
0965,AM1235
1018,RO2363
3416,RG8200
1742,RG8200
3265,DB3807
8126,BC3864
1678,WS4875
3681,SL3321
0237,JC5989
7003,OS9076
3681,DT2994
5239,JM3731
3147,RM2049
5921,RM2049
0193,LG5674
0237,LH8482
3389,NW3096
1457,WH3305
9483,CR6766
1189,CR6766
0678,CR6766
5921,CR6766
6543,MW2959
0582,MW2959
3294,MW2959
6014,MW2959
0346,NC7648
1234,XR6573
1523,BD1670
1234,JF4014
5478,NM2799
9017,KC6889
5921,GN7411
3294,EH4531
5016,JE3117
7684,GH5401
5683,IC7490
2007,UQ9960
1296,IM2719
2259,IM2719
5921,MS7400
1189,AE3409
5683,NC8947
2259,EO8734
9483,KB4801
0714,DF5793
1348,MG7343
6543,AS9786
6014,KV3399
1296,SD8148
1234,OW8553
3416,CR3462
6014,RB3856
3038,YM1039
1865,GL8826
9017,KS7184
5016,MO1283
0582,MO1283
3265,CF3046
0582,MP7621
1742,KD9530
3294,KR1073
1087,KS9736
1296,EF6119
0678,SM8588
1189,SM8588
7920,KS9769
6891,SR2922
3389,XR6573
0678,XR6573
3926,XR6573
3147,XR6573
6279,GB1989
9483,IW9706
0451,SK7066
1979,CA1596
2688,NH1289
6543,RF2787
3265,TA9455
5239,EW2886
2496,EW2886
2259,KF1315
1348,WM4490
5016,IB7108
3416,CM5713
3389,SB4963
1087,OS5743
1296,YG4960
0965,TW4263
2007,MM8056
9483,MM8056
2573,SC7463
0714,KH8537
2007,SS6723
2259,AK9822
0237,KN7745
1189,AC4234
3294,MB1881
1018,DB8258
9017,EM9192
2688,EH4597
1348,HM9143
5239,LW3827
1189,SR2809
7684,CF3032
3574,LH7757
1087,LH7757
5921,HG3190
3294,MR8758
0965,CH7795
7461,MM3228
2688,SH4530
3681,MB6294
7295,TS5828
8126,YQ6532
3265,YQ6532
0678,BL5128
3416,SR8570
2573,SR8570
1189,SR8570
2007,SR8570
0582,OH8182
1523,MS4330
3498,CP5467
5478,CP5467
7003,TF1271
3681,CP5393
5016,KN5247
1189,WM5537
3389,LM7655
0129,SM5264
3926,RP4438
7295,NS5592
0237,NS5592
2688,LO7145
1457,MO2348
2688,HG7041
6543,KH2397
5016,LW3803
1348,IG1277
1678,BG3665
5016,KC7839
3012,AH1237
1742,CV5801
2134,CV5801
1865,CV5801
1348,CV5801
3389,SO9560
0678,SO9560
3574,MT7506
1523,MG7032
2496,NW1675
7003,NW1675
7295,KF3338
3926,AH3263
1189,PH1208
5239,OB6109
1348,OB6109
5478,BT1257
3179,OB5045
5478,HG4847
6543,HG4847
1523,HG4847
2688,HG4847
0237,MP2820
6543,KV3690
7920,BD3562
5683,NR5979
2573,MR6235
1125,DS4234
0678,AF4415
6279,GL6835
5016,GL6835
1018,LB8839
1234,LB8839
6279,RO5353
1742,AF3658
3926,MF8170
3926,DW4151
2688,PW3654
7138,GP9070
1523,EC1293
1296,CW9449
2134,TC6980
3147,MV5031
3012,MV5031
5016,RM4971
7461,AS1437
6279,MR6818
0714,IL5906
5016,FW5678
7003,JC8351
3265,RC4196
1296,KR2133
6891,IA9840
3389,WH8645
7684,CV8369
1042,JH4474
0965,CL9453
2007,CL9453
0346,JW4261
1189,FR6040
5921,SC6972
1742,HP3099
1234,SP7959
2259,GH8694
3574,CM3684
1523,LJ4006
3179,HK5669
7295,LV4940
0582,CE6643
2381,CW4660
3147,JB5159
3147,EW1067
7684,HC4024
1018,RS5677
1523,PH2420
5239,HB2036
3147,TH7310
5683,LM4330
6543,LM4330
2381,SS3421
8126,NC1870
0678,AR6511
2007,KL7809
0582,IC7007
